department,dept_total_risk,Champions,Loyal,n_customers,pct_of_total_risk
produce,183383.92007048268,146149.65100790464,37234.26906257804,2327,29.280368724366607
dairy eggs,101053.22731794202,81012.70776547413,20040.519552467882,2302,16.134870252088348
snacks,58199.256706432665,45798.005144359086,12401.251562073578,2199,9.29250337321535
beverages,56084.270831962865,43620.13144904909,12464.139382913774,2146,8.954809827197243
frozen,42095.88828437528,31775.708802308094,10320.179482067184,2087,6.721326113393779
pantry,37463.29616913666,28242.926656669755,9220.369512466901,2180,5.981653816980624
bakery,22167.295358858228,17305.769257409615,4861.526101448612,1835,3.5393865584280455
deli,19645.27196308192,14688.27298179043,4956.998981291489,1774,3.1367025339430894
canned goods,18442.46760094064,14319.737387793715,4122.730213146923,1770,2.9446543150303452
dry goods pasta,15777.051271751134,11978.698064136339,3798.353207614796,1656,2.5190751645103844
household,14877.74956986992,10629.22882675534,4248.52074311458,1533,2.37548631868676
breakfast,12828.938622566626,10194.66744523113,2634.2711773354945,1601,2.048358727780739
meat seafood,12787.003401275968,9813.260519389623,2973.742881886345,1505,2.041663054891554
babies,9200.068567695404,8164.865632634353,1035.2029350610505,531,1.468947767329008
personal care,8835.530793595337,6532.0536793291785,2303.477114266158,1369,1.4107430979364712
international,5339.060669874682,3765.4598526080817,1573.6008172666009,1186,0.8524720433264268
missing,2468.1931809330845,1374.4204892294383,1093.772691703646,478,0.39408911311805067
alcohol,2348.6820251095423,1715.1610682802693,633.5209568292729,190,0.3750071199539631
pets,1649.8457265809343,1273.9050927100545,375.94063387087965,217,0.26342599282447077
other,897.0834077598801,604.3291992809108,292.7542084789693,293,0.14323465735504534
bulk,759.2138202596273,596.6360236147909,162.57779664483635,216,0.12122142764367165
