user_id,avg_days_between_orders,gap_trend,reorder_rate,order_count,days_since_last_order,annual_value_est,revenue_at_risk_90d,churned,top_department
1,19.0,-7.0,0.73,11,14.0,2113.16,30.56,0,beverages
2,16.29,16.67,0.46,15,30.0,2465.35,84.42,1,produce
3,12.09,-5.0,0.62,12,15.0,3320.68,55.34,0,produce
4,13.75,0.0,0.06,5,0.0,2920.0,23.89,0,beverages
5,11.5,0.0,0.39,5,6.0,3491.3,73.0,0,produce
7,10.45,-17.33,0.68,21,6.0,3842.11,89.4,0,produce
10,21.8,-2.33,0.33,6,30.0,1841.74,102.55,1,produce
11,20.5,3.67,0.35,7,30.0,1958.54,59.77,1,produce
12,25.0,0.0,0.18,5,30.0,1606.0,54.02,1,produce
13,7.67,-0.67,0.65,13,8.0,5236.96,78.74,0,dairy eggs
14,21.23,-5.33,0.34,14,11.0,1891.12,67.85,0,produce
15,10.81,-6.0,0.82,22,14.0,3714.32,27.63,0,snacks
16,21.8,3.33,0.34,6,26.0,1841.74,48.83,0,produce
17,8.0,18.33,0.71,41,30.0,5018.75,83.46,1,beverages
18,5.83,1.33,0.3,7,7.0,6882.86,111.73,0,beverages
19,9.5,2.0,0.35,9,8.0,4226.32,217.72,0,pantry
21,10.45,7.67,0.51,34,28.0,3840.43,54.17,0,dairy eggs
22,13.57,-18.0,0.51,15,30.0,2958.42,30.93,1,produce
23,18.5,0.0,0.19,5,30.0,2170.27,51.3,1,dairy eggs
24,14.67,-7.33,0.54,19,0.0,2737.5,12.77,0,beverages
26,12.55,2.0,0.39,12,7.0,3200.36,33.94,0,beverages
27,4.43,2.67,0.72,82,4.0,9058.91,197.1,0,beverages
28,11.7,-8.0,0.42,24,13.0,3432.9,59.49,0,produce
29,11.61,0.33,0.72,19,13.0,3457.89,100.1,0,snacks
30,21.62,16.33,0.5,9,22.0,1856.65,5.63,0,beverages
31,4.89,0.0,0.36,20,0.0,8202.69,278.7,0,frozen
32,20.25,0.0,0.3,5,30.0,1982.72,102.74,1,dairy eggs
34,22.0,-2.33,0.24,6,30.0,1825.0,25.58,1,beverages
35,21.38,-14.33,0.51,9,28.0,1878.36,87.28,0,produce
36,9.72,-3.33,0.64,37,7.0,4129.71,38.81,0,alcohol
37,13.52,9.67,0.44,24,16.0,2969.29,56.24,0,produce
38,21.75,-0.33,0.55,13,30.0,1845.98,69.06,1,dairy eggs
39,12.0,3.0,0.52,7,30.0,3345.83,153.17,1,produce
40,13.12,5.0,0.65,9,14.0,3059.05,80.34,0,dairy eggs
41,26.6,1.0,0.28,6,30.0,1509.4,45.74,1,dairy eggs
42,13.88,15.33,0.56,17,14.0,2893.69,54.16,0,frozen
43,11.82,-3.33,0.44,12,26.0,3397.31,115.82,0,produce
46,17.37,17.33,0.62,20,11.0,2311.67,42.82,0,produce
47,9.6,4.33,0.16,6,16.0,4182.29,50.69,0,produce
48,20.9,-9.33,0.48,11,14.0,1921.05,50.01,0,produce
49,24.88,-0.67,0.06,9,2.0,1614.07,21.6,0,produce
50,5.43,-3.33,0.81,68,7.0,7390.25,113.37,0,produce
52,8.85,6.67,0.68,28,3.0,4535.77,66.27,0,snacks
