user_id,segment,last_hook_department,total_orders,streak_at_last_order,last_basket_size,intervention_deadline_orders
4,Lost,beverages,5,0,3,
5,Lost,produce,5,1,9,
6,Lost,produce,3,1,3,
8,Lost,produce,4,0,18,
9,Lost,dairy eggs,4,1,22,
10,Lost,produce,6,4,4,
11,Lost,dairy eggs,7,1,15,
12,Lost,produce,5,0,22,
16,Lost,produce,6,0,11,
20,Lost,produce,4,0,7,
23,Lost,dairy eggs,5,0,12,
25,Lost,frozen,3,0,6,
30,Lost,beverages,9,1,1,
32,Lost,dairy eggs,5,0,22,
33,Lost,dairy eggs,3,0,17,
34,Lost,dairy eggs,6,1,5,
35,Lost,produce,9,1,8,
39,Lost,produce,7,0,29,
41,Lost,produce,6,0,15,
44,Lost,produce,4,1,6,
45,Lost,personal care,4,0,8,
47,Lost,frozen,6,0,6,
51,Lost,dairy eggs,3,0,13,
53,Lost,produce,4,1,13,
55,Lost,snacks,8,0,13,
60,Lost,produce,8,1,8,
61,Lost,dairy eggs,4,0,22,
66,Lost,pantry,7,0,7,
68,Lost,dairy eggs,6,1,4,
69,Lost,frozen,5,1,9,
73,Lost,produce,7,0,2,
79,Lost,produce,8,1,10,
83,Lost,snacks,7,1,3,
88,Lost,pets,8,0,3,
92,Lost,beverages,5,2,2,
94,Lost,produce,9,2,3,
95,Lost,produce,9,0,18,
100,Lost,produce,5,0,8,
102,Lost,produce,7,0,17,
105,Lost,pantry,8,0,4,
106,Lost,produce,4,1,17,
109,Lost,produce,7,0,17,
113,Lost,household,6,0,2,
114,Lost,produce,5,0,20,
119,Lost,produce,4,0,15,
120,Lost,beverages,4,1,1,
124,Lost,produce,9,0,9,
126,Lost,produce,10,1,9,
130,Lost,produce,4,2,9,
131,Lost,frozen,10,0,8,
134,Lost,dairy eggs,6,0,13,
135,Lost,dairy eggs,5,0,12,
136,Lost,produce,4,1,7,
139,Lost,produce,5,0,3,
141,Lost,snacks,4,1,9,
145,Lost,deli,9,1,8,
148,Lost,canned goods,8,0,7,
156,Lost,alcohol,3,0,8,
157,Lost,dairy eggs,5,0,8,
158,Lost,personal care,5,1,4,
159,Lost,produce,4,1,13,
165,Lost,produce,7,0,9,
166,Lost,produce,6,2,4,
169,Lost,produce,7,0,11,
170,Lost,beverages,3,0,3,
176,Lost,produce,7,0,7,
179,Lost,produce,6,1,7,
180,Lost,produce,6,1,10,
181,Lost,dairy eggs,10,1,5,
183,Lost,dairy eggs,5,0,27,
185,Lost,beverages,7,1,1,
188,Lost,produce,5,0,9,
191,Lost,produce,5,0,7,
192,Lost,snacks,6,1,8,
196,Lost,produce,3,0,1,
199,Lost,produce,4,0,9,
200,Lost,snacks,9,0,10,
201,Lost,dairy eggs,8,1,3,
203,Lost,dairy eggs,4,0,1,
207,Lost,dairy eggs,3,0,7,
211,Lost,produce,5,0,27,
213,Lost,dairy eggs,6,0,25,
215,Lost,beverages,6,0,14,
224,Lost,produce,4,0,8,
228,Lost,frozen,4,1,11,
231,Lost,produce,4,1,18,
240,Lost,snacks,6,1,2,
245,Lost,produce,6,0,11,
246,Lost,dairy eggs,5,0,11,
247,Lost,produce,5,1,5,
251,Lost,dairy eggs,10,1,6,
252,Lost,bakery,5,0,21,
253,Lost,personal care,4,1,3,
255,Lost,produce,5,1,7,
259,Lost,produce,4,0,4,
263,Lost,beverages,3,0,10,
266,Lost,canned goods,5,0,7,
267,Lost,frozen,10,2,15,
268,Lost,pantry,9,1,6,
269,Lost,dairy eggs,3,0,36,
272,Lost,snacks,10,1,8,
277,Lost,produce,3,0,9,
282,Lost,beverages,4,1,7,
285,Lost,produce,5,1,7,
286,Lost,babies,4,2,2,
288,Lost,babies,4,0,11,
291,Lost,produce,5,2,1,
292,Lost,produce,8,0,19,
293,Lost,produce,9,0,17,
298,Lost,beverages,4,0,18,
299,Lost,produce,9,1,8,
302,Lost,produce,10,2,2,
303,Lost,personal care,8,0,1,
305,Lost,produce,5,0,11,
308,Lost,produce,3,2,2,
312,Lost,dairy eggs,4,0,8,
314,Lost,bakery,6,1,1,
315,Lost,produce,5,0,13,
317,Lost,frozen,5,3,3,
320,Lost,produce,5,0,29,
326,Lost,produce,6,1,3,
331,Lost,beverages,8,0,4,
333,Lost,bakery,8,3,1,
338,Lost,dairy eggs,5,0,10,
339,Lost,produce,3,0,9,
