user_id,clv_12m,clv_tier,trajectory_type
1,1539.5864661654132,Low,C
2,1145.4063809967395,At-Risk,B
3,2075.422932330827,Medium,C
7,2609.05752753978,Medium,C
13,3410.111223458039,High,C
14,650.3410059676045,At-Risk,C
15,3043.67657856094,Medium,C
17,3580.041666666667,High,B
21,1965.7201730888112,Medium,C
22,1500.6483600305112,Low,C
24,1474.0384615384614,Low,C
26,1257.2851966873704,Low,C
27,6485.489771658712,High,C
28,1444.4441058768564,Low,C
29,2500.5437146585473,Medium,C
31,2990.2776279354116,Medium,C
36,2645.176470588235,Medium,C
37,1321.3352090032154,Low,C
38,1009.2491137608766,At-Risk,C
42,1632.8700128700132,Low,B
43,1491.0405982905984,Low,C
46,1432.3824130879343,Low,B
48,914.7869674185464,At-Risk,C
50,5957.279920515215,High,C
52,3099.445606694561,Medium,D
54,5011.04420619768,High,C
56,3761.7346938775513,High,C
57,2830.681216931217,Medium,C
58,1426.4234734337822,Low,C
59,971.0328148188862,At-Risk,B
62,871.3107638888888,At-Risk,C
63,2678.6044079794083,Medium,C
64,2090.7907397973627,Medium,C
65,1188.1122448979593,At-Risk,C
67,3909.2577813248213,High,C
70,652.5574554145982,At-Risk,B
71,2119.583513163573,Medium,D
72,1638.7755102040815,Low,C
75,3087.7994888284275,Medium,C
76,489.04511278195486,At-Risk,C
77,1102.5079882838504,At-Risk,C
80,2692.4845837615617,Medium,C
82,2815.611878640119,Medium,C
86,1077.863849765258,At-Risk,C
87,2618.478260869565,Medium,C
89,2949.6691871455578,Medium,C
90,10308.019349962207,High,C
91,2441.8840383835654,Medium,C
93,404.85450878709304,At-Risk,C
96,1920.5091937765205,Medium,D
98,909.4583333333333,At-Risk,A
99,920.7252253486396,At-Risk,C
101,1422.4062153163152,Low,C
103,1541.779609279609,Low,B
107,1182.9390420899856,At-Risk,C
110,1464.5846775928073,Low,C
112,2932.124320693656,Medium,C
115,534.3833185448091,At-Risk,C
117,927.9033543432587,At-Risk,C
118,2126.2538939526303,Medium,D
121,1142.479674796748,At-Risk,C
122,3038.378378378379,Medium,C
123,1117.0508744038154,At-Risk,C
125,1646.3158065879747,Low,C
126,712.5424795468849,At-Risk,C
127,1788.101092896175,Low,C
128,607.329482948295,At-Risk,C
129,2593.020833333333,Medium,C
131,1208.8394235717963,At-Risk,C
132,7224.110355857658,High,C
133,3146.6194404591106,Medium,C
138,2276.8117034914408,Medium,D
140,6180.98807495741,High,C
142,4545.830288637194,High,C
143,2445.5773305084745,Medium,C
146,2839.2689784442364,Medium,C
147,1553.7925696594427,Low,C
149,1206.8872495045146,At-Risk,C
150,1782.787798408488,Low,C
151,1737.4114870180963,Low,C
152,5558.556475951968,High,C
153,2360.06531244811,Medium,D
154,2772.3559205350116,Medium,C
155,2083.964099820013,Medium,D
160,1515.6442831215975,Low,C
161,1257.3788073788078,Low,C
162,1725.8620689655172,Low,C
163,1489.28488372093,Low,C
164,1740.6069364161847,Low,C
168,1603.8179347826085,Low,C
173,2912.3336182684084,Medium,C
174,1855.2831311853563,Low,C
175,2213.8098542678695,Medium,C
177,3144.277108433735,Medium,C
181,909.9931318681321,At-Risk,C
182,2142.730075901328,Medium,D
184,933.5799486637475,At-Risk,C
187,4093.457943925234,High,C
189,1227.7463573619634,Low,C
190,1178.872340425532,At-Risk,C
195,5866.0327966017985,High,C
197,7078.1721178380885,High,C
202,1147.0742358078603,At-Risk,C
204,4118.432835820895,High,D
205,1720.0122399020806,Low,D
206,1698.689929122206,Low,C
208,2331.016889514426,Medium,D
209,2658.896265560166,Medium,D
210,10163.47129506008,High,C
212,1099.6137640449435,At-Risk,C
