risk_rank,department,revenue_at_risk_60d,pct_of_total,cumulative_pct,pareto_tier,n_at_risk_customers,champions_risk,loyal_risk,champions_share_pct
1,produce,183384.0,29.3,29.3,Top 50% of risk,2390,146150.0,37234.0,79.7
2,dairy eggs,101053.0,16.1,45.4,Top 50% of risk,2390,81013.0,20041.0,80.2
3,snacks,58199.0,9.3,54.7,Next 30% of risk,2390,45798.0,12401.0,78.7
4,beverages,56084.0,9.0,63.7,Next 30% of risk,2390,43620.0,12464.0,77.8
5,frozen,42096.0,6.7,70.4,Next 30% of risk,2390,31776.0,10320.0,75.5
6,pantry,37463.0,6.0,76.4,Next 30% of risk,2390,28243.0,9220.0,75.4
7,bakery,22167.0,3.5,79.9,Next 30% of risk,2390,17306.0,4862.0,78.1
8,deli,19645.0,3.1,83.0,Tail risk (<20%),2390,14688.0,4957.0,74.8
9,canned goods,18442.0,2.9,85.9,Tail risk (<20%),2390,14320.0,4123.0,77.6
10,dry goods pasta,15777.0,2.5,88.4,Tail risk (<20%),2390,11979.0,3798.0,75.9
11,household,14878.0,2.4,90.8,Tail risk (<20%),2390,10629.0,4249.0,71.4
12,breakfast,12829.0,2.0,92.8,Tail risk (<20%),2390,10195.0,2634.0,79.5
13,meat seafood,12787.0,2.0,94.8,Tail risk (<20%),2390,9813.0,2974.0,76.7
14,babies,9200.0,1.5,96.3,Tail risk (<20%),2390,8165.0,1035.0,88.8
15,personal care,8836.0,1.4,97.7,Tail risk (<20%),2390,6532.0,2303.0,73.9
16,international,5339.0,0.9,98.6,Tail risk (<20%),2390,3765.0,1574.0,70.5
17,missing,2468.0,0.4,99.0,Tail risk (<20%),2390,1374.0,1094.0,55.7
18,alcohol,2349.0,0.4,99.4,Tail risk (<20%),2390,1715.0,634.0,73.0
19,pets,1650.0,0.3,99.7,Tail risk (<20%),2390,1274.0,376.0,77.2
20,other,897.0,0.1,99.8,Tail risk (<20%),2390,604.0,293.0,67.3
21,bulk,759.0,0.1,99.9,Tail risk (<20%),2390,597.0,163.0,78.6
