department,dept_total_risk,Champions,Loyal,n_customers,pct_of_total_risk
produce,183383.92007048268,146149.65100790464,37234.26906257804,2390,29.280368724366607
dairy eggs,101053.22731794202,81012.70776547413,20040.51955246788,2390,16.134870252088348
snacks,58199.256706432665,45798.005144359086,12401.251562073578,2390,9.29250337321535
beverages,56084.27083196287,43620.13144904909,12464.139382913774,2390,8.954809827197243
frozen,42095.88828437528,31775.70880230809,10320.179482067184,2390,6.721326113393779
pantry,37463.29616913666,28242.926656669755,9220.3695124669,2390,5.981653816980624
bakery,22167.295358858228,17305.769257409615,4861.526101448612,2390,3.539386558428045
deli,19645.27196308192,14688.27298179043,4956.998981291489,2390,3.1367025339430894
canned goods,18442.46760094064,14319.737387793715,4122.730213146923,2390,2.944654315030345
dry goods pasta,15777.051271751134,11978.69806413634,3798.353207614796,2390,2.5190751645103844
household,14877.74956986992,10629.22882675534,4248.52074311458,2390,2.37548631868676
breakfast,12828.938622566626,10194.66744523113,2634.2711773354945,2390,2.048358727780739
meat seafood,12787.003401275968,9813.260519389623,2973.742881886345,2390,2.041663054891554
babies,9200.068567695404,8164.865632634353,1035.2029350610503,2390,1.468947767329008
personal care,8835.530793595337,6532.0536793291785,2303.477114266158,2390,1.4107430979364712
international,5339.060669874682,3765.4598526080817,1573.6008172666009,2390,0.8524720433264268
missing,2468.1931809330845,1374.4204892294383,1093.772691703646,2390,0.3940891131180506
alcohol,2348.6820251095423,1715.161068280269,633.5209568292729,2390,0.3750071199539631
pets,1649.8457265809343,1273.9050927100543,375.9406338708797,2390,0.2634259928244707
other,897.0834077598801,604.3291992809108,292.7542084789693,2390,0.1432346573550453
bulk,759.2138202596273,596.6360236147909,162.57779664483635,2390,0.1212214276436716
