primary_department,customer_count,actual_churn_rate,predicted_churn_rate,residual,status
canned goods,834,0.3872901678657074,0.38728255,7.617530776993231e-06,As expected
dry goods pasta,499,0.38276553106212424,0.38275823,7.301091192235543e-06,As expected
personal care,909,0.36303630363036304,0.3630303,5.989184867438713e-06,As expected
international,105,0.3619047619047619,0.36189887,5.892628715142845e-06,As expected
household,2451,0.3602611179110567,0.36025533,5.787110046562294e-06,As expected
pantry,2912,0.35199175824175827,0.35198656,5.200996503751387e-06,As expected
breakfast,811,0.3366214549938348,0.3366173,4.16402017144879e-06,As expected
meat seafood,1064,0.32612781954887216,0.32612434,3.479253080529432e-06,As expected
bakery,2393,0.3134141245298788,0.31341153,2.590697328774816e-06,As expected
pets,382,0.306282722513089,0.3062806,2.1095675323823393e-06,As expected
frozen,7800,0.3005128205128205,0.3005111,1.7285652649801087e-06,As expected
deli,1858,0.29547900968783636,0.29547763,1.3809799506159237e-06,As expected
bulk,28,0.2857142857142857,0.28571358,7.024833134083863e-07,As expected
other,32,0.28125,0.28124958,4.172325134277344e-07,As expected
snacks,10396,0.2800115429011158,0.2800112,3.3603580512631126e-07,As expected
babies,534,0.27153558052434457,0.27153584,-2.63086418983427e-07,As expected
beverages,22043,0.2677040330263576,0.26770455,-5.134252110128301e-07,As expected
alcohol,2142,0.26330532212885155,0.2633061,-7.889684842665723e-07,As expected
dairy eggs,39851,0.25866352161802714,0.25866464,-1.1161860042352423e-06,As expected
produce,77970,0.23771963575734256,0.23772219,-2.5524769866613894e-06,As expected
missing,58,0.1206896551724138,0.12070015,-1.049555581190964e-05,As expected
