user_id,order_count,risk_score,risk_tier
1,11,0.3738,Medium
2,15,0.7943,High
3,12,0.4114,Medium
4,5,0.5137,Medium
5,5,0.5049,Medium
10,6,0.4657,Medium
11,7,0.5701,Medium
12,5,0.5106,Medium
13,13,0.4865,Medium
14,14,0.413,Medium
16,6,0.5644,Medium
18,7,0.5306,Medium
19,9,0.541,Medium
22,15,0.1873,Low
23,5,0.5101,Medium
26,12,0.5398,Medium
30,9,0.7875,High
32,5,0.5074,Medium
34,6,0.468,Medium
35,9,0.2513,Low
38,13,0.495,Medium
39,7,0.554,Medium
40,9,0.5854,Medium
41,6,0.5254,Medium
43,12,0.4454,Medium
47,6,0.5868,Medium
48,11,0.3396,Medium
49,9,0.502,Medium
55,8,0.5365,Medium
56,13,0.5854,Medium
57,14,0.4886,Medium
58,15,0.7162,High
59,11,0.7263,High
60,8,0.5881,Medium
62,11,0.4648,Medium
64,11,0.5342,Medium
65,15,0.6733,High
66,7,0.5082,Medium
68,6,0.5605,Medium
69,5,0.5047,Medium
70,14,0.8387,High
72,13,0.55,Medium
73,7,0.5472,Medium
74,6,0.6457,High
76,10,0.5667,Medium
77,12,0.2958,Low
78,7,0.786,High
79,8,0.8102,High
80,13,0.3764,Medium
81,8,0.7354,High
83,7,0.4702,Medium
84,9,0.5076,Medium
85,7,0.4913,Medium
88,8,0.4594,Medium
92,5,0.5073,Medium
93,15,0.4419,Medium
94,9,0.3236,Medium
95,9,0.5174,Medium
97,6,0.4191,Medium
98,14,0.5905,Medium
100,5,0.5084,Medium
102,7,0.4284,Medium
104,6,0.3596,Medium
105,8,0.639,High
107,15,0.4219,Medium
108,8,0.7539,High
109,7,0.5168,Medium
111,8,0.5446,Medium
113,6,0.5838,Medium
114,5,0.5027,Medium
115,13,0.2881,Low
116,7,0.4167,Medium
117,12,0.3345,Medium
121,11,0.5407,Medium
123,11,0.1799,Low
124,9,0.5799,Medium
125,14,0.3452,Medium
126,10,0.3578,Medium
128,12,0.3805,Medium
129,11,0.4734,Medium
131,10,0.529,Medium
134,6,0.5559,Medium
135,5,0.5048,Medium
137,6,0.4981,Medium
139,5,0.5059,Medium
143,15,0.5898,Medium
144,8,0.4698,Medium
145,9,0.5889,Medium
147,14,0.4572,Medium
148,8,0.6614,High
149,15,0.5775,Medium
151,11,0.3625,Medium
157,5,0.5061,Medium
158,5,0.5118,Medium
160,13,0.3552,Medium
162,14,0.5205,Medium
163,12,0.5821,Medium
