user_id,recency_days,frequency,monetary,r_score,f_score,m_score,rfm_score,segment
1,14.0,11,70,3,3,2,332,Loyal
2,30.0,15,226,1,3,4,134,At Risk
3,15.0,12,88,2,3,2,232,At Risk
4,0.0,5,18,4,1,1,411,Lost
5,6.0,5,46,4,1,2,412,Lost
6,12.0,3,14,3,1,1,311,Lost
7,6.0,21,215,4,4,4,444,Champions
8,10.0,4,67,3,1,2,312,Lost
9,30.0,4,98,1,1,3,113,Lost
10,30.0,6,147,1,2,3,123,Lost
11,30.0,7,94,1,2,3,123,Lost
12,30.0,5,74,1,1,2,112,Lost
13,8.0,13,86,3,3,2,332,Loyal
14,11.0,14,221,3,3,4,334,Champions
15,14.0,22,72,3,4,2,342,Loyal
16,26.0,6,70,2,2,2,222,Lost
17,30.0,41,300,1,4,4,144,At Risk
18,7.0,7,50,3,2,2,322,Loyal
19,8.0,9,204,3,2,4,324,Loyal
20,7.0,4,22,3,1,1,311,Lost
21,28.0,34,211,2,4,4,244,At Risk
22,30.0,15,69,1,3,2,132,At Risk
23,30.0,5,52,1,1,2,112,Lost
24,0.0,19,39,4,3,1,431,Loyal
25,30.0,3,21,1,1,1,111,Lost
26,7.0,12,56,3,3,2,332,Loyal
27,4.0,82,785,4,4,4,444,Champions
28,13.0,24,183,3,4,3,343,Champions
29,13.0,19,242,3,3,4,334,Champions
30,22.0,9,12,2,2,1,221,Lost
31,0.0,20,299,4,4,4,444,Champions
32,30.0,5,114,1,1,3,113,Lost
33,30.0,3,53,1,1,2,112,Lost
34,30.0,6,37,1,2,1,121,Lost
35,28.0,9,184,2,2,3,223,Lost
36,7.0,37,153,3,4,3,343,Champions
37,16.0,24,200,2,4,4,244,At Risk
38,30.0,13,214,1,3,4,134,At Risk
39,30.0,7,141,1,2,3,123,Lost
40,14.0,9,104,3,2,3,323,Loyal
41,30.0,6,80,1,2,2,122,Lost
42,14.0,17,140,3,3,3,333,Champions
43,26.0,12,180,2,3,3,233,At Risk
44,30.0,4,43,1,1,1,111,Lost
45,30.0,4,18,1,1,1,111,Lost
46,11.0,20,163,3,4,3,343,Champions
47,16.0,6,32,2,2,1,221,Lost
48,14.0,11,126,3,3,3,333,Champions
49,2.0,9,53,4,2,2,422,Loyal
50,7.0,68,459,3,4,4,344,Champions
51,17.0,3,29,2,1,1,211,Lost
52,3.0,28,180,4,4,3,443,Champions
53,13.0,4,48,3,1,2,312,Lost
54,1.0,77,619,4,4,4,444,Champions
55,30.0,8,100,1,2,3,123,Lost
56,6.0,13,154,4,3,3,433,Champions
57,10.0,14,72,3,3,2,332,Loyal
58,6.0,15,97,4,3,3,433,Champions
59,10.0,11,113,3,3,3,333,Champions
60,30.0,8,67,1,2,2,122,Lost
61,30.0,4,87,1,1,2,112,Lost
62,29.0,11,96,2,3,3,233,At Risk
63,13.0,40,518,3,4,4,344,Champions
64,27.0,11,151,2,3,3,233,At Risk
65,30.0,15,140,1,3,3,133,At Risk
66,23.0,7,30,2,2,1,221,Lost
67,5.0,25,84,4,4,2,442,Loyal
68,30.0,6,70,1,2,2,122,Lost
69,13.0,5,50,3,1,2,312,Lost
70,30.0,14,105,1,3,3,133,At Risk
71,17.0,24,462,2,4,4,244,At Risk
72,30.0,13,49,1,3,2,132,At Risk
73,22.0,7,24,2,2,1,221,Lost
74,10.0,6,53,3,2,2,322,Loyal
75,9.0,23,311,3,4,4,344,Champions
76,14.0,10,35,3,2,1,321,Loyal
77,6.0,12,203,4,3,4,434,Champions
78,7.0,7,44,3,2,1,321,Loyal
79,30.0,8,103,1,2,3,123,Lost
80,8.0,13,139,3,3,3,333,Champions
81,8.0,8,30,3,2,1,321,Loyal
82,13.0,20,138,3,4,3,343,Champions
83,30.0,7,42,1,2,1,121,Lost
84,14.0,9,76,3,2,2,322,Loyal
85,10.0,7,30,3,2,1,321,Loyal
86,6.0,18,284,4,3,4,434,Champions
87,8.0,28,183,3,4,3,343,Champions
88,23.0,8,14,2,2,1,221,Lost
89,6.0,21,253,4,4,4,444,Champions
90,2.0,72,675,4,4,4,444,Champions
91,11.0,16,245,3,3,4,334,Champions
92,21.0,5,20,2,1,1,211,Lost
93,5.0,15,39,4,3,1,431,Loyal
94,15.0,9,56,2,2,2,222,Lost
95,21.0,9,162,2,2,3,223,Lost
96,30.0,17,154,1,3,3,133,At Risk
97,6.0,6,55,4,2,2,422,Loyal
98,8.0,14,50,3,3,2,332,Loyal
99,22.0,19,226,2,3,4,234,At Risk
100,26.0,5,27,2,1,1,211,Lost
101,4.0,20,170,4,4,3,443,Champions
102,30.0,7,76,1,2,2,122,Lost
103,20.0,18,78,2,3,2,232,At Risk
104,10.0,6,29,3,2,1,321,Loyal
105,30.0,8,18,1,2,1,121,Lost
106,8.0,4,58,3,1,2,312,Lost
107,9.0,15,130,3,3,3,333,Champions
108,6.0,8,78,4,2,2,422,Loyal
109,21.0,7,86,2,2,2,222,Lost
110,6.0,21,369,4,4,4,444,Champions
111,4.0,8,80,4,2,2,422,Loyal
112,6.0,27,159,4,4,3,443,Champions
113,30.0,6,7,1,2,1,121,Lost
114,2.0,5,86,4,1,2,412,Lost
115,15.0,13,92,2,3,3,233,At Risk
116,4.0,7,30,4,2,1,421,Loyal
117,4.0,12,129,4,3,3,433,Champions
118,30.0,28,169,1,4,3,143,At Risk
119,30.0,4,37,1,1,1,111,Lost
120,30.0,4,8,1,1,1,111,Lost
121,21.0,11,60,2,3,2,232,At Risk
122,22.0,29,120,2,4,3,243,At Risk
123,0.0,11,74,4,3,2,432,Loyal
124,21.0,9,88,2,2,2,222,Lost
125,11.0,14,201,3,3,4,334,Champions
126,21.0,10,105,2,2,3,223,Lost
127,6.0,17,305,4,3,4,434,Champions
128,4.0,12,101,4,3,3,433,Champions
129,1.0,11,64,4,3,2,432,Loyal
130,12.0,4,46,3,1,2,312,Lost
131,18.0,10,67,2,2,2,222,Lost
132,5.0,25,122,4,4,3,443,Champions
133,6.0,20,544,4,4,4,444,Champions
134,30.0,6,47,1,2,2,122,Lost
135,17.0,5,38,2,1,1,211,Lost
136,29.0,4,47,2,1,2,212,Lost
137,8.0,6,72,3,2,2,322,Loyal
138,1.0,33,149,4,4,3,443,Champions
139,30.0,5,17,1,1,1,111,Lost
140,2.0,77,1174,4,4,4,444,Champions
141,2.0,4,41,4,1,1,411,Lost
142,2.0,46,374,4,4,4,444,Champions
143,8.0,15,236,3,3,4,334,Champions
144,12.0,8,29,3,2,1,321,Loyal
145,30.0,9,75,1,2,2,122,Lost
146,25.0,41,388,2,4,4,244,At Risk
147,30.0,14,76,1,3,2,132,At Risk
148,27.0,8,110,2,2,3,223,Lost
149,12.0,15,228,3,3,4,334,Champions
150,20.0,32,290,2,4,4,244,At Risk
151,2.0,11,164,4,3,3,433,Champions
152,1.0,65,696,4,4,4,444,Champions
153,7.0,19,267,3,3,4,334,Champions
154,4.0,35,620,4,4,4,444,Champions
155,9.0,23,244,3,4,4,344,Champions
156,5.0,3,18,4,1,1,411,Lost
157,4.0,5,52,4,1,2,412,Lost
158,13.0,5,31,3,1,1,311,Lost
159,21.0,4,53,2,1,2,212,Lost
160,13.0,13,285,3,3,4,334,Champions
161,20.0,21,280,2,4,4,244,At Risk
162,3.0,14,87,4,3,2,432,Loyal
163,11.0,12,86,3,3,2,332,Loyal
164,19.0,11,200,2,3,4,234,At Risk
165,27.0,7,92,2,2,3,223,Lost
166,16.0,6,28,2,2,1,221,Lost
167,7.0,6,72,3,2,2,322,Loyal
168,8.0,22,140,3,4,3,343,Champions
169,30.0,7,96,1,2,3,123,Lost
170,30.0,3,8,1,1,1,111,Lost
171,8.0,7,70,3,2,2,322,Loyal
172,14.0,6,20,3,2,1,321,Loyal
173,15.0,45,431,2,4,4,244,At Risk
174,9.0,28,178,3,4,3,343,Champions
175,7.0,24,131,3,4,3,343,Champions
176,19.0,7,50,2,2,2,222,Lost
177,0.0,14,48,4,3,2,432,Loyal
178,7.0,6,61,3,2,2,322,Loyal
179,15.0,6,38,2,2,1,221,Lost
180,18.0,6,222,2,2,4,224,Lost
181,30.0,10,96,1,2,3,123,Lost
182,7.0,26,204,3,4,4,344,Champions
183,19.0,5,103,2,1,3,213,Lost
184,30.0,12,179,1,3,3,133,At Risk
185,30.0,7,41,1,2,1,121,Lost
186,7.0,7,54,3,2,2,322,Loyal
187,3.0,33,214,4,4,4,444,Champions
188,5.0,5,72,4,1,2,412,Lost
189,2.0,12,64,4,3,2,432,Loyal
190,12.0,17,160,3,3,3,333,Champions
191,5.0,5,30,4,1,1,411,Lost
192,30.0,6,50,1,2,2,122,Lost
193,14.0,6,40,3,2,1,321,Loyal
194,9.0,9,90,3,2,2,322,Loyal
195,6.0,59,191,4,4,3,443,Champions
196,30.0,3,3,1,1,1,111,Lost
197,2.0,21,479,4,4,4,444,Champions
198,8.0,6,53,3,2,2,322,Loyal
199,30.0,4,25,1,1,1,111,Lost
200,30.0,9,172,1,2,3,123,Lost
201,23.0,8,56,2,2,2,222,Lost
202,18.0,13,365,2,3,4,234,At Risk
203,30.0,4,12,1,1,1,111,Lost
204,17.0,59,536,2,4,4,244,At Risk
205,30.0,13,57,1,3,2,132,At Risk
206,13.0,29,185,3,4,3,343,Champions
207,23.0,3,22,2,1,1,211,Lost
208,18.0,19,98,2,3,3,233,At Risk
209,27.0,20,325,2,4,4,244,At Risk
210,5.0,100,1498,4,4,4,444,Champions
211,8.0,5,76,3,1,2,312,Lost
212,2.0,13,32,4,3,1,431,Loyal
213,30.0,6,81,1,2,2,122,Lost
214,30.0,28,515,1,4,4,144,At Risk
215,29.0,6,45,2,2,2,222,Lost
216,22.0,17,339,2,3,4,234,At Risk
217,30.0,12,100,1,3,3,133,At Risk
218,7.0,7,7,3,2,1,321,Loyal
219,14.0,34,427,3,4,4,344,Champions
220,30.0,17,119,1,3,3,133,At Risk
221,10.0,23,231,3,4,4,344,Champions
222,3.0,71,491,4,4,4,444,Champions
223,7.0,50,646,3,4,4,344,Champions
224,13.0,4,30,3,1,1,311,Lost
225,6.0,11,60,4,3,2,432,Loyal
226,30.0,22,234,1,4,4,144,At Risk
227,7.0,31,562,3,4,4,344,Champions
228,10.0,4,50,3,1,2,312,Lost
229,4.0,18,197,4,3,4,434,Champions
230,30.0,11,73,1,3,2,132,At Risk
231,16.0,4,83,2,1,2,212,Lost
232,13.0,36,445,3,4,4,344,Champions
233,19.0,25,478,2,4,4,244,At Risk
234,14.0,42,550,3,4,4,344,Champions
235,5.0,22,205,4,4,4,444,Champions
236,2.0,45,515,4,4,4,444,Champions
237,0.0,8,69,4,2,2,422,Loyal
238,14.0,7,259,3,2,4,324,Loyal
239,6.0,6,56,4,2,2,422,Loyal
240,20.0,6,17,2,2,1,221,Lost
241,5.0,14,124,4,3,3,433,Champions
242,7.0,17,139,3,3,3,333,Champions
243,20.0,28,363,2,4,4,244,At Risk
244,11.0,7,43,3,2,1,321,Loyal
245,20.0,6,58,2,2,2,222,Lost
246,9.0,5,33,3,1,1,311,Lost
247,30.0,5,31,1,1,1,111,Lost
248,2.0,58,392,4,4,4,444,Champions
249,3.0,10,44,4,2,1,421,Loyal
250,20.0,12,118,2,3,3,233,At Risk
251,23.0,10,77,2,2,2,222,Lost
252,30.0,5,67,1,1,2,112,Lost
253,3.0,4,26,4,1,1,411,Lost
254,3.0,11,105,4,3,3,433,Champions
255,29.0,5,87,2,1,2,212,Lost
256,28.0,19,232,2,3,4,234,At Risk
257,10.0,20,121,3,4,3,343,Champions
258,26.0,25,218,2,4,4,244,At Risk
259,30.0,4,20,1,1,1,111,Lost
260,30.0,18,108,1,3,3,133,At Risk
261,4.0,9,86,4,2,2,422,Loyal
262,3.0,46,266,4,4,4,444,Champions
263,12.0,3,24,3,1,1,311,Lost
264,8.0,30,715,3,4,4,344,Champions
265,8.0,7,28,3,2,1,321,Loyal
266,30.0,5,30,1,1,1,111,Lost
267,30.0,10,339,1,2,4,124,Lost
268,30.0,9,67,1,2,2,122,Lost
269,30.0,3,67,1,1,2,112,Lost
270,30.0,23,73,1,4,2,142,At Risk
271,3.0,16,18,4,3,1,431,Loyal
272,16.0,10,73,2,2,2,222,Lost
273,13.0,20,118,3,4,3,343,Champions
274,18.0,14,188,2,3,3,233,At Risk
275,6.0,14,163,4,3,3,433,Champions
276,7.0,9,62,3,2,2,322,Loyal
277,30.0,3,23,1,1,1,111,Lost
278,2.0,69,268,4,4,4,444,Champions
279,30.0,14,100,1,3,3,133,At Risk
280,8.0,42,541,3,4,4,344,Champions
281,8.0,30,303,3,4,4,344,Champions
282,2.0,4,29,4,1,1,411,Lost
283,3.0,6,42,4,2,1,421,Loyal
284,13.0,17,371,3,3,4,334,Champions
285,14.0,5,45,3,1,2,312,Lost
286,19.0,4,28,2,1,1,211,Lost
287,0.0,14,18,4,3,1,431,Loyal
288,20.0,4,30,2,1,1,211,Lost
289,14.0,50,716,3,4,4,344,Champions
290,7.0,51,1590,3,4,4,344,Champions
291,17.0,5,18,2,1,1,211,Lost
292,30.0,8,131,1,2,3,123,Lost
293,30.0,9,131,1,2,3,123,Lost
294,30.0,16,114,1,3,3,133,At Risk
295,8.0,24,279,3,4,4,344,Champions
296,4.0,7,43,4,2,1,421,Loyal
297,21.0,11,49,2,3,2,232,At Risk
298,16.0,4,67,2,1,2,212,Lost
299,18.0,9,64,2,2,2,222,Lost
300,5.0,39,295,4,4,4,444,Champions
301,6.0,18,148,4,3,3,433,Champions
302,30.0,10,76,1,2,2,122,Lost
303,26.0,8,13,2,2,1,221,Lost
304,6.0,43,284,4,4,4,444,Champions
305,30.0,5,51,1,1,2,112,Lost
306,14.0,25,124,3,4,3,343,Champions
307,3.0,34,171,4,4,3,443,Champions
308,1.0,3,11,4,1,1,411,Lost
309,1.0,26,322,4,4,4,444,Champions
310,4.0,100,497,4,4,4,444,Champions
311,12.0,15,61,3,3,2,332,Loyal
312,13.0,4,29,3,1,1,311,Lost
313,4.0,100,793,4,4,4,444,Champions
314,30.0,6,12,1,2,1,121,Lost
315,24.0,5,47,2,1,2,212,Lost
316,14.0,21,190,3,4,3,343,Champions
317,6.0,5,43,4,1,1,411,Lost
318,8.0,7,7,3,2,1,321,Loyal
319,2.0,9,64,4,2,2,422,Loyal
320,8.0,5,142,3,1,3,313,Lost
321,11.0,33,478,3,4,4,344,Champions
322,21.0,15,158,2,3,3,233,At Risk
323,4.0,72,1061,4,4,4,444,Champions
324,30.0,12,99,1,3,3,133,At Risk
325,6.0,8,103,4,2,3,423,Loyal
326,27.0,6,50,2,2,2,222,Lost
327,3.0,64,745,4,4,4,444,Champions
328,27.0,13,129,2,3,3,233,At Risk
329,14.0,9,56,3,2,2,322,Loyal
330,6.0,8,41,4,2,1,421,Loyal
331,30.0,8,39,1,2,1,121,Lost
332,6.0,12,234,4,3,4,434,Champions
333,28.0,8,42,2,2,1,221,Lost
334,2.0,64,847,4,4,4,444,Champions
335,7.0,6,44,3,2,1,321,Loyal
336,8.0,11,42,3,3,1,331,Loyal
337,30.0,13,273,1,3,4,134,At Risk
338,30.0,5,26,1,1,1,111,Lost
339,12.0,3,29,3,1,1,311,Lost
340,14.0,6,65,3,2,2,322,Loyal
341,30.0,12,216,1,3,4,134,At Risk
342,30.0,17,147,1,3,3,133,At Risk
343,10.0,5,26,3,1,1,311,Lost
344,30.0,9,25,1,2,1,121,Lost
345,19.0,4,15,2,1,1,211,Lost
346,30.0,7,39,1,2,1,121,Lost
347,1.0,3,13,4,1,1,411,Lost
348,7.0,29,139,3,4,3,343,Champions
349,5.0,8,47,4,2,2,422,Loyal
350,7.0,15,190,3,3,3,333,Champions
351,9.0,15,191,3,3,3,333,Champions
352,8.0,10,195,3,2,3,323,Loyal
353,30.0,12,123,1,3,3,133,At Risk
354,22.0,5,7,2,1,1,211,Lost
355,30.0,14,153,1,3,3,133,At Risk
356,1.0,3,23,4,1,1,411,Lost
357,10.0,9,172,3,2,3,323,Loyal
358,30.0,8,57,1,2,2,122,Lost
359,6.0,16,220,4,3,4,434,Champions
360,6.0,3,16,4,1,1,411,Lost
361,2.0,7,90,4,2,2,422,Loyal
362,6.0,11,111,4,3,3,433,Champions
363,10.0,13,225,3,3,4,334,Champions
364,6.0,18,177,4,3,3,433,Champions
365,7.0,16,38,3,3,1,331,Loyal
366,6.0,3,39,4,1,1,411,Lost
367,27.0,4,78,2,1,2,212,Lost
368,30.0,4,7,1,1,1,111,Lost
369,18.0,16,121,2,3,3,233,At Risk
370,30.0,28,339,1,4,4,144,At Risk
371,20.0,4,36,2,1,1,211,Lost
372,30.0,13,93,1,3,3,133,At Risk
373,3.0,58,568,4,4,4,444,Champions
374,14.0,17,25,3,3,1,331,Loyal
375,30.0,8,158,1,2,3,123,Lost
376,30.0,9,102,1,2,3,123,Lost
377,30.0,4,34,1,1,1,111,Lost
378,27.0,9,23,2,2,1,221,Lost
379,30.0,20,201,1,4,4,144,At Risk
380,3.0,13,51,4,3,2,432,Loyal
381,10.0,16,355,3,3,4,334,Champions
382,10.0,30,224,3,4,4,344,Champions
383,30.0,10,103,1,2,3,123,Lost
384,16.0,10,26,2,2,1,221,Lost
385,30.0,5,42,1,1,1,111,Lost
386,30.0,4,38,1,1,1,111,Lost
387,30.0,9,65,1,2,2,122,Lost
388,30.0,10,14,1,2,1,121,Lost
389,13.0,12,201,3,3,4,334,Champions
390,20.0,23,417,2,4,4,244,At Risk
391,29.0,24,212,2,4,4,244,At Risk
392,5.0,6,15,4,2,1,421,Loyal
393,27.0,11,233,2,3,4,234,At Risk
394,30.0,5,198,1,1,4,114,Lost
395,30.0,4,19,1,1,1,111,Lost
396,30.0,19,304,1,3,4,134,At Risk
397,4.0,3,18,4,1,1,411,Lost
398,29.0,53,441,2,4,4,244,At Risk
399,18.0,4,33,2,1,1,211,Lost
400,30.0,5,74,1,1,2,112,Lost
401,5.0,5,61,4,1,2,412,Lost
402,4.0,5,11,4,1,1,411,Lost
403,8.0,33,458,3,4,4,344,Champions
404,24.0,7,53,2,2,2,222,Lost
405,26.0,5,45,2,1,2,212,Lost
406,5.0,5,69,4,1,2,412,Lost
407,4.0,4,73,4,1,2,412,Lost
408,30.0,4,36,1,1,1,111,Lost
409,7.0,87,866,3,4,4,344,Champions
410,10.0,28,566,3,4,4,344,Champions
411,30.0,12,70,1,3,2,132,At Risk
412,20.0,5,47,2,1,2,212,Lost
413,4.0,20,238,4,4,4,444,Champions
414,20.0,4,32,2,1,1,211,Lost
415,9.0,6,50,3,2,2,322,Loyal
416,30.0,4,37,1,1,1,111,Lost
417,14.0,10,88,3,2,2,322,Loyal
418,25.0,8,167,2,2,3,223,Lost
419,21.0,25,73,2,4,2,242,At Risk
420,6.0,22,128,4,4,3,443,Champions
421,30.0,4,20,1,1,1,111,Lost
422,6.0,27,270,4,4,4,444,Champions
423,1.0,42,100,4,4,3,443,Champions
424,7.0,4,7,3,1,1,311,Lost
425,21.0,8,113,2,2,3,223,Lost
426,30.0,14,44,1,3,1,131,At Risk
427,14.0,8,43,3,2,1,321,Loyal
428,30.0,3,28,1,1,1,111,Lost
429,16.0,30,106,2,4,3,243,At Risk
430,6.0,9,73,4,2,2,422,Loyal
431,7.0,10,13,3,2,1,321,Loyal
432,7.0,53,454,3,4,4,344,Champions
433,22.0,6,45,2,2,2,222,Lost
434,8.0,5,43,3,1,1,311,Lost
435,14.0,14,159,3,3,3,333,Champions
436,17.0,16,48,2,3,2,232,At Risk
437,14.0,20,196,3,4,3,343,Champions
438,10.0,12,185,3,3,3,333,Champions
439,6.0,9,129,4,2,3,423,Loyal
440,21.0,18,44,2,3,1,231,At Risk
441,25.0,15,72,2,3,2,232,At Risk
442,9.0,13,174,3,3,3,333,Champions
443,30.0,10,141,1,2,3,123,Lost
444,7.0,43,1211,3,4,4,344,Champions
445,30.0,4,22,1,1,1,111,Lost
446,30.0,9,46,1,2,2,122,Lost
447,7.0,5,17,3,1,1,311,Lost
448,6.0,34,466,4,4,4,444,Champions
449,1.0,22,121,4,4,3,443,Champions
450,28.0,17,187,2,3,3,233,At Risk
451,8.0,32,242,3,4,4,344,Champions
452,19.0,25,316,2,4,4,244,At Risk
453,21.0,14,104,2,3,3,233,At Risk
454,7.0,55,671,3,4,4,344,Champions
455,2.0,7,66,4,2,2,422,Loyal
456,30.0,7,35,1,2,1,121,Lost
457,7.0,5,67,3,1,2,312,Lost
458,12.0,14,160,3,3,3,333,Champions
459,8.0,24,117,3,4,3,343,Champions
460,30.0,3,38,1,1,1,111,Lost
461,28.0,4,19,2,1,1,211,Lost
462,5.0,59,1144,4,4,4,444,Champions
463,4.0,7,85,4,2,2,422,Loyal
464,5.0,49,388,4,4,4,444,Champions
465,7.0,41,500,3,4,4,344,Champions
466,14.0,32,720,3,4,4,344,Champions
467,21.0,5,55,2,1,2,212,Lost
468,23.0,7,25,2,2,1,221,Lost
469,30.0,9,60,1,2,2,122,Lost
470,6.0,17,81,4,3,2,432,Loyal
471,10.0,7,147,3,2,3,323,Loyal
472,30.0,5,10,1,1,1,111,Lost
473,18.0,12,251,2,3,4,234,At Risk
474,7.0,29,179,3,4,3,343,Champions
475,11.0,29,179,3,4,3,343,Champions
476,7.0,17,229,3,3,4,334,Champions
477,17.0,5,22,2,1,1,211,Lost
478,30.0,9,77,1,2,2,122,Lost
479,8.0,24,249,3,4,4,344,Champions
480,4.0,13,189,4,3,3,433,Champions
481,12.0,36,460,3,4,4,344,Champions
482,14.0,9,116,3,2,3,323,Loyal
483,30.0,10,21,1,2,1,121,Lost
484,0.0,11,39,4,3,1,431,Loyal
