rank,user_id,trajectory_type,P_churn,predicted_loss,risk_score,churned,reorder_rate,gap_trend,avg_days_between_orders
1,75399,C,0.90860957,126.92484232207796,115.32512628688664,1,0.367816091954023,0.3333333333333332,4.625
2,35340,C,0.8804328,117.3448970271177,103.31429444317986,1,0.5671641791044776,0.6666666666666667,6.461538461538462
3,31307,C,0.7643756,131.89816840751928,100.8197451820389,1,0.1696428571428571,-0.6666666666666665,6.0
4,122000,C,0.5865014,171.66579633620472,100.68223323837304,1,0.5972222222222222,0.0,4.5
5,137785,D,0.58961153,170.40752932782462,100.47424414229478,1,0.5924092409240924,9.333333333333332,5.565217391304348
6,83744,C,0.79315275,126.61389936017422,100.4241624073032,1,0.6666666666666666,1.0,4.5
7,206026,C,0.6804034,143.90814066686178,97.91558983629407,0,0.75,-0.3333333333333333,2.4285714285714284
8,50146,C,0.8168898,119.74620772180904,97.81945836888852,0,0.5,10.0,4.555555555555555
9,19667,C,0.8124863,119.55569635606952,97.13736429209968,0,0.5,8.333333333333332,4.666666666666667
10,125081,D,0.77175176,123.85558302871088,95.58576436614764,1,0.6717948717948717,18.0,4.15
11,22344,C,0.8236401,116.03236269490088,95.56890775411524,0,0.4090909090909091,7.666666666666666,5.5
12,67593,C,0.79550266,119.1967284865468,94.82131489125308,0,0.320754716981132,10.0,5.666666666666667
13,34232,C,0.88790166,106.39586411708932,94.469064768897,1,0.4388489208633093,0.666666666666667,10.0
14,95704,C,0.7023521,133.03335426309258,93.43625661091546,1,0.4210526315789473,4.333333333333333,5.357142857142857
15,162030,C,0.679234,137.03511156746376,93.07891078856215,1,0.8135593220338984,0.0,4.076923076923077
16,68514,C,0.7980322,116.4177144237234,92.9050875753198,0,0.1891891891891892,9.333333333333334,5.375
17,134994,C,0.5864318,158.1786850842699,92.76101122425858,1,0.5054151624548736,4.333333333333334,4.904761904761905
18,198700,C,0.8955953,102.88249450799908,92.14107978042442,1,0.1851851851851851,2.6666666666666665,6.285714285714286
19,36198,C,0.8988643,102.42850437923748,92.06932884510351,1,0.6122448979591837,0.3333333333333335,6.714285714285714
20,71024,C,0.6421955,143.0311734864541,91.85397923171212,0,0.7471264367816092,-0.3333333333333335,5.076923076923077
21,122016,C,0.5936971,154.6905016715226,91.83929776557336,1,0.6109510086455331,-3.0,6.076923076923077
22,74660,C,0.9807849,93.5857350047026,91.78747509627226,1,0.2,0.0,6.0
23,78515,D,0.6944756,132.1561943463657,91.77925119714928,0,0.6120218579234973,9.666666666666666,4.357142857142857
24,171840,C,0.63334644,144.02971096711732,91.22070446594272,0,0.6062176165803109,-2.333333333333333,6.0
25,193172,C,0.88609415,102.80926017936991,91.09868431173132,1,0.5526315789473685,2.666666666666666,10.0
26,188325,C,0.94378966,95.81066313118389,90.42511327011918,1,0.3950617283950617,0.0,7.0
27,45220,C,0.60753846,147.0853779147876,89.3600242347335,0,0.5957446808510638,3.333333333333333,3.8947368421052633
28,20977,C,0.6562281,135.7906122730487,89.10961889749474,0,0.6931818181818182,-1.0,5.642857142857143
29,114898,C,0.87139547,102.2210833285908,89.07498881935078,0,0.475,9.666666666666666,6.375
30,162694,C,0.63580763,139.9291390018187,88.96801471244086,0,0.5959595959595959,-2.333333333333333,5.571428571428571
31,101241,C,0.6221189,142.51672952351294,88.66234961828548,1,0.570281124497992,-2.0000000000000004,6.266666666666667
32,32304,C,0.72284937,122.51607001733638,88.56066391040356,0,0.2527472527472527,-2.0,4.0
33,167447,C,0.758979,116.56692840482977,88.47185337686312,1,0.5135135135135135,2.333333333333333,4.545454545454546
34,54132,C,0.8764401,100.32232528972766,87.92650959392462,1,0.5684931506849316,-0.3333333333333339,10.166666666666666
35,59349,C,0.6501113,134.06131230105987,87.1547763838633,1,0.3416666666666667,5.666666666666667,3.5
36,121185,C,0.5931177,146.57999069947488,86.93918899129268,0,0.7297297297297297,3.0,5.1923076923076925
37,115333,D,0.5644828,153.9471329989043,86.90050993618209,1,0.8103896103896104,8.666666666666668,5.142857142857143
38,84211,C,0.58173496,149.09357823311416,86.73294607057115,1,0.5161290322580645,7.666666666666666,5.130434782608695
39,3415,C,0.68509495,126.5142509959125,86.67427478715804,0,0.3859649122807017,13.666666666666668,4.642857142857143
40,50068,C,0.69026744,125.54931596775452,86.66260538593701,1,0.48,0.0,4.384615384615385
41,75467,C,0.80801326,107.11648911351509,86.55154360741328,1,0.4571428571428571,1.3333333333333333,5.777777777777778
42,155014,C,0.85827535,100.68956824525776,86.41937482059659,0,0.325,-0.3333333333333335,6.4
43,3571,D,0.5505317,156.87114954972515,86.36253834476688,0,0.5665236051502146,7.333333333333333,5.307692307692308
44,111158,C,0.5600118,154.11840933283418,86.3081284560963,0,0.5799086757990868,4.0,4.888888888888889
45,63285,C,0.5855439,146.7843697677927,85.94868806525247,0,0.55,1.3333333333333333,3.631578947368421
46,10188,C,0.53491646,160.48573605653297,85.84646189435566,0,0.6774193548387096,1.6666666666666667,3.6666666666666665
47,146401,C,0.94540745,90.75171269562752,85.79734530077697,1,0.375,0.6666666666666667,6.166666666666667
48,130603,C,0.6308627,135.69120540821044,85.60252195508171,0,0.5512820512820513,0.3333333333333335,5.071428571428571
49,125228,C,0.98034555,87.12279587225431,85.41044499291365,1,0.1428571428571428,0.0,6.0
50,80038,C,0.69420457,122.60628678168824,85.1138444551648,0,0.3333333333333333,9.666666666666666,4.2727272727272725
51,89374,C,0.54174274,157.1028538143128,85.10933081107086,0,0.5357142857142857,1.0,4.384615384615385
52,34506,C,0.9502995,89.55777964366422,85.1067133435728,1,0.5,0.6666666666666665,8.2
53,103757,C,0.55917794,152.09457111179006,85.04792821777652,0,0.5114754098360655,10.0,4.363636363636363
54,67598,C,0.9634986,88.19449567786849,84.97527244100003,0,0.53125,-0.6666666666666666,6.2
55,166542,C,0.94589525,89.76038916071367,84.90392615924269,1,0.6071428571428571,-0.3333333333333335,7.5
56,99335,C,0.5665043,149.8640977444511,84.89865573399901,0,0.5324675324675324,11.0,4.583333333333333
57,60047,D,0.6203972,136.37077706101078,84.60404963070506,0,0.7235772357723578,9.333333333333332,3.75
58,201781,C,0.7795327,108.46040396554274,84.54842839825788,0,0.4680851063829787,8.333333333333334,5.666666666666667
59,15053,C,0.93760884,90.14892037910175,84.52442449093863,1,0.4385964912280701,2.0,7.666666666666667
60,164001,D,0.58918816,143.38279940562967,84.47944754411499,1,0.5833333333333334,7.333333333333332,5.454545454545454
61,145288,C,0.6039188,139.77736430191413,84.41417683283574,1,0.5175097276264592,8.333333333333334,5.619047619047619
62,60236,C,0.60438174,139.64985500963678,84.40182237449172,0,0.6171875,4.666666666666666,5.294117647058823
63,121961,D,0.5797439,144.88550438534622,83.9964905180646,0,0.5758293838862559,7.333333333333333,5.4
64,142280,C,0.6736575,124.52478342549942,83.88705141419094,0,0.508130081300813,8.333333333333334,4.62962962962963
65,66936,C,0.5022982,166.55376280501676,83.65965131096476,0,0.7593123209169055,-1.0,3.0597014925373136
66,120431,C,0.80052817,104.46380082222416,83.6262151653881,0,0.6491228070175439,-0.3333333333333335,6.214285714285714
67,170991,C,0.7114947,117.5327103123155,83.62389860910648,0,0.3809523809523809,3.666666666666667,5.444444444444445
68,87561,D,0.5599548,149.2712654771773,83.58516489945823,0,0.6363636363636364,12.333333333333334,5.136363636363637
69,121219,C,0.60319823,138.49987709977827,83.54288075872384,1,0.5234899328859061,3.0,4.866666666666666
70,190687,D,0.6110287,136.6738719718683,83.51165438756536,0,0.7901990811638591,13.666666666666666,4.282352941176471
71,93101,D,0.6094108,136.84455143615526,83.39455063050467,1,0.7790697674418605,8.333333333333332,4.870967741935484
72,87063,C,0.9154301,91.0445802153421,83.34495177253028,1,0.4285714285714285,0.333333333333333,9.5
73,169633,D,0.735271,113.35267058779128,83.3449288509414,0,0.6585365853658537,10.0,6.294117647058823
74,122290,D,0.6217292,134.0093439694725,83.3175215644247,0,0.6756756756756757,7.0,5.4
75,181860,C,0.69787055,119.3604332444942,83.29813149972811,1,0.4607843137254901,3.333333333333333,6.25
76,65764,D,0.566913,146.9204351723878,83.2911059416049,1,0.8864994026284349,5.666666666666668,4.315789473684211
77,8092,C,0.594238,140.10402894107233,83.25513559988869,1,0.3979057591623036,8.666666666666666,4.5
78,126800,C,0.90359664,92.11477788285931,83.23460375550833,1,0.5371024734982333,5.666666666666666,10.25
79,118262,D,0.5934282,140.1640799964976,83.17731692927896,1,0.6410788381742739,7.666666666666666,5.045454545454546
80,79101,C,0.59760934,139.1185557601975,83.1385484488346,0,0.5403225806451613,5.333333333333334,5.6
81,180918,D,0.6089012,136.44398415122845,83.08090604795382,0,0.8233532934131736,12.333333333333332,4.0
82,194166,C,0.68509156,121.21240450703752,83.0415947033864,1,0.5714285714285714,-0.3333333333333335,5.266666666666667
83,204908,B,0.7869754,105.46568531868672,82.9988981770314,0,0.5540540540540541,22.33333333333333,6.352941176470588
84,145,C,0.8554797,97.01119036755152,82.9911057061689,1,0.52,5.0,7.0
