user_id,order_count,risk_score,risk_tier
4,5,0.5174,Medium
5,5,0.5086,Medium
10,6,0.469,Medium
11,7,0.5742,Medium
12,5,0.5143,Medium
16,6,0.5685,Medium
18,7,0.5344,Medium
19,9,0.5449,Medium
23,5,0.5138,Medium
30,9,0.7932,High
32,5,0.511,Medium
34,6,0.4714,Medium
35,9,0.2531,Low
39,7,0.558,Medium
40,9,0.5896,Medium
41,6,0.5292,Medium
47,6,0.591,Medium
49,9,0.5057,Medium
55,8,0.5404,Medium
60,8,0.5924,Medium
66,7,0.5119,Medium
68,6,0.5645,Medium
69,5,0.5083,Medium
73,7,0.5512,Medium
74,6,0.6504,High
76,10,0.5708,Medium
78,7,0.7916,High
79,8,0.816,High
81,8,0.7407,High
83,7,0.4736,Medium
84,9,0.5112,Medium
85,7,0.4948,Medium
88,8,0.4627,Medium
92,5,0.511,Medium
94,9,0.326,Medium
95,9,0.5212,Medium
97,6,0.4221,Medium
100,5,0.512,Medium
102,7,0.4315,Medium
104,6,0.3622,Medium
105,8,0.6436,High
108,8,0.7593,High
109,7,0.5205,Medium
111,8,0.5485,Medium
113,6,0.588,Medium
114,5,0.5063,Medium
116,7,0.4197,Medium
124,9,0.5841,Medium
126,10,0.3604,Medium
131,10,0.5329,Medium
134,6,0.5599,Medium
135,5,0.5085,Medium
137,6,0.5017,Medium
139,5,0.5096,Medium
144,8,0.4732,Medium
145,9,0.5932,Medium
148,8,0.6662,High
157,5,0.5098,Medium
158,5,0.5155,Medium
165,7,0.4775,Medium
166,6,0.3968,Medium
167,6,0.4544,Medium
169,7,0.2926,Low
171,7,0.6898,High
172,6,0.5286,Medium
176,7,0.4363,Medium
178,6,0.5652,Medium
179,6,0.6293,High
180,6,0.4299,Medium
181,10,0.5537,Medium
183,5,0.512,Medium
185,7,0.5444,Medium
186,7,0.5404,Medium
188,5,0.5112,Medium
191,5,0.5163,Medium
192,6,0.5015,Medium
193,6,0.616,High
194,9,0.6204,High
198,6,0.6219,High
200,9,0.7466,High
201,8,0.6747,High
211,5,0.5102,Medium
213,6,0.5332,Medium
215,6,0.5165,Medium
218,7,0.4355,Medium
237,8,0.5081,Medium
238,7,0.6068,High
239,6,0.4316,Medium
240,6,0.5111,Medium
244,7,0.3463,Medium
245,6,0.5098,Medium
246,5,0.5125,Medium
247,5,0.5129,Medium
249,10,0.495,Medium
